city,state,scientific_name,tree_count
Albuquerque,New Mexico,Acer platanoides,216
Albuquerque,New Mexico,Acer saccharum,186
Albuquerque,New Mexico,Acer rubrum,159
Albuquerque,New Mexico,Acer saccharinum,149
Albuquerque,New Mexico,Tilia cordata,148
Albuquerque,New Mexico,Other,1616
Anaheim,California,Acer platanoides,5266
Anaheim,California,Acer saccharum,4379
Anaheim,California,Acer rubrum,3771
Anaheim,California,Acer saccharinum,2567
Anaheim,California,Tilia cordata,2317
Anaheim,California,Other,36121
Arlington,Texas,Acer platanoides,1570
Arlington,Texas,Acer saccharum,1195
Arlington,Texas,Acer rubrum,1139
Arlington,Texas,Acer saccharinum,1081
Arlington,Texas,Tilia cordata,691
Arlington,Texas,Other,8997
Atlanta,Georgia,Acer platanoides,3678
Atlanta,Georgia,Acer saccharum,2581
Atlanta,Georgia,Acer rubrum,1742
Atlanta,Georgia,Acer saccharinum,1612
Atlanta,Georgia,Tilia cordata,1263
Atlanta,Georgia,Other,24859
AvondaleEstates,Georgia,Acer platanoides,27
AvondaleEstates,Georgia,Acer saccharum,24
AvondaleEstates,Georgia,Acer rubrum,23
AvondaleEstates,Georgia,Acer saccharinum,15
AvondaleEstates,Georgia,Tilia cordata,14
AvondaleEstates,Georgia,Other,183
Brookhaven,Georgia,Acer platanoides,19
Brookhaven,Georgia,Acer saccharum,11
Brookhaven,Georgia,Acer rubrum,8
Brookhaven,Georgia,Acer saccharinum,8
Brookhaven,Georgia,Tilia cordata,5
Brookhaven,Georgia,Other,55
CandlerMcAfee,Georgia,Acer platanoides,8
CandlerMcAfee,Georgia,Acer saccharum,6
CandlerMcAfee,Georgia,Acer rubrum,4
CandlerMcAfee,Georgia,Acer saccharinum,2
CandlerMcAfee,Georgia,Tilia cordata,1
CandlerMcAfee,Georgia,Other,7
Chamblee,Georgia,Acer platanoides,28
Chamblee,Georgia,Acer saccharum,16
Chamblee,Georgia,Acer rubrum,14
Chamblee,Georgia,Acer saccharinum,12
Chamblee,Georgia,Tilia cordata,10
Chamblee,Georgia,Other,34
Clarkston,Georgia,Acer platanoides,101
Clarkston,Georgia,Acer saccharum,79
Clarkston,Georgia,Acer rubrum,36
Clarkston,Georgia,Acer saccharinum,11
Clarkston,Georgia,Tilia cordata,4
Clarkston,Georgia,Other,0
CollegePark,Georgia,Acer platanoides,12
CollegePark,Georgia,Acer saccharum,10
CollegePark,Georgia,Acer rubrum,8
CollegePark,Georgia,Acer saccharinum,7
CollegePark,Georgia,Tilia cordata,7
CollegePark,Georgia,Other,59
Decatur,Georgia,Acer platanoides,221
Decatur,Georgia,Acer saccharum,100
Decatur,Georgia,Acer rubrum,76
Decatur,Georgia,Acer saccharinum,67
Decatur,Georgia,Tilia cordata,56
Decatur,Georgia,Other,1338
Doraville,Georgia,Acer platanoides,56
Doraville,Georgia,Acer saccharum,15
Doraville,Georgia,Acer rubrum,11
Doraville,Georgia,Acer saccharinum,9
Doraville,Georgia,Tilia cordata,8
Doraville,Georgia,Other,26
Dunwoody,Georgia,Acer platanoides,111
Dunwoody,Georgia,Acer saccharum,79
Dunwoody,Georgia,Acer rubrum,54
Dunwoody,Georgia,Acer saccharinum,42
Dunwoody,Georgia,Tilia cordata,39
Dunwoody,Georgia,Other,610
EastPoint,Georgia,Acer platanoides,84
EastPoint,Georgia,Acer saccharum,48
EastPoint,Georgia,Acer rubrum,41
EastPoint,Georgia,Acer saccharinum,35
EastPoint,Georgia,Tilia cordata,33
EastPoint,Georgia,Other,343
Hapeville,Georgia,Acer platanoides,51
Hapeville,Georgia,Acer saccharum,31
Hapeville,Georgia,Acer rubrum,30
Hapeville,Georgia,Acer saccharinum,19
Hapeville,Georgia,Tilia cordata,17
Hapeville,Georgia,Other,100
Marietta,Georgia,Acer platanoides,17
Marietta,Georgia,Acer saccharum,14
