Year,Annual nitrous oxide emissions in CO₂ equivalents,Annual methane emissions in CO₂ equivalents,Annual CO₂ emissions
1850,774789558.918236,6485469327.88963,13885064789.001
1851,788651514.1453221,6509928121.31561,14310556787.737
1852,802210721.7397999,6548414665.01272,14553933071.908
1853,815279904.6665246,6592418732.54869,14891046715.199
1854,827671693.8729861,6671410202.86427,15266992685.188
1855,839198822.9922875,6707592341.59365,15345579772.445
1856,849673965.4266616,6760006112.3639,15614656066.926
1857,858909768.4152148,6793272778.59242,15740539986.542
1858,866718962.6083785,6824916323.08516,15916269072.411
1859,872914230.1365273,6879845234.645801,16164070132.233
1860,877308181.1753207,6947331266.74269,15887807884.433
1861,880570048.7461354,6997438136.6506405,15429842143.419
1862,883543249.2100022,7033342647.60111,15402561107.727
1863,886301991.0783406,7098749952.54439,15574151525.192999
1864,888920549.3475292,7162849809.5535,15625402591.436
1865,891473243.1623509,7222352987.78736,15677620279.465
1866,894034200.5172404,7283269661.3370905,15723361963.948
1867,896677768.1790351,7328783747.24316,15943247617.413
1868,899478112.0795813,7365758093.29319,15950589666.739
1869,902509584.0939132,7425032253.68518,16023876385.207
1870,905846354.0129794,7460211827.77662,17003196993.216
1871,918875471.5820391,7536767220.97629,17789783858.683
1872,948388865.9413973,7646701544.75506,18457900551.277
1873,990568547.3879243,7734146912.82767,19057422568.229
1874,1041596254.1651795,7751921478.38062,19037834851.703
1875,1097653960.9027753,7848058917.77444,19539646241.601
1876,1154923439.6604679,7907362719.7452,19798160515.524998
1877,1209586598.6704607,7968337384.96865,20089702057.875
1878,1257825221.5509334,8022364746.20006,20371041894.316
1879,1295821330.5150166,8107363163.09776,20862449967.771
1880,1319756655.6796482,8236685861.28803,21681010218.478
1881,1334248834.6693673,8334067487.89133,21823928074.855
1882,1346730350.9416232,8430542232.85965,22437608066.598
1883,1357605543.1021905,8539548799.04223,23107562058.161
1884,1367278606.1129262,8596342656.77397,23256664945.685
1885,1376153871.1232512,8654235734.29639,23318265452.707
1886,1384635672.6919618,8719331995.34189,23535811180.489002
1887,1393128179.2011497,8820397637.12713,24130657773.917
1888,1402035833.6972811,8957833553.79346,24784356398.797
1889,1411762730.6248026,9028631179.65274,24955498867.617
1890,1462104729.359878,9172497400.02467,26191360641.589
1891,1481756024.7109623,9277170435.54333,27051112055.39
1892,1501943255.6889944,9340383011.514389,27266214827.073
1893,1522409908.6740067,9368177473.04943,27487308304.247
1894,1542899639.8001308,9491062806.20624,28058254467.897
1895,1563155974.079986,9615171330.97591,28724456809.626
1896,1582922512.2800314,9711524392.57098,29222046388.623
1897,1601942800.4237902,9834249720.09319,29869633694.739998
1898,1619960654.779975,9958379409.44952,30527424496.695
1899,1636719475.4316711,10138328529.49779,31650179358.604
